# i   j          x          y        u_x        u_y        |u|
#-------------------------------------------------------------
 16 104  8.000e-01  5.200e+00  2.542e-12  5.373e-12  5.944e-12
 16 108  8.000e-01  5.400e+00  3.413e-12  4.290e-12  5.482e-12
 16 112  8.000e-01  5.600e+00  4.038e-12  3.024e-12  5.045e-12
 16 116  8.000e-01  5.800e+00  4.422e-12  1.635e-12  4.715e-12
 16 120  8.000e-01  6.000e+00  4.570e-12  0.000e+00  4.570e-12

 20   0  1.000e+00  0.000e+00 -0.000e+00 -9.827e-11  9.827e-11
 20   4  1.000e+00  2.000e-01 -4.776e-12 -9.770e-11  9.782e-11
 20   8  1.000e+00  4.000e-01 -9.496e-12 -9.610e-11  9.656e-11
 20  12  1.000e+00  6.000e-01 -1.409e-11 -9.342e-11  9.448e-11
 20  16  1.000e+00  8.000e-01 -1.849e-11 -8.970e-11  9.159e-11
 20  20  1.000e+00  1.000e+00 -2.259e-11 -8.495e-11  8.790e-11
 20  24  1.000e+00  1.200e+00 -2.628e-11 -7.923e-11  8.347e-11
 20  28  1.000e+00  1.400e+00 -2.943e-11 -7.263e-11  7.836e-11
 20  32  1.000e+00  1.600e+00 -3.191e-11 -6.530e-11  7.267e-11
 20  36  1.000e+00  1.800e+00 -3.361e-11 -5.741e-11  6.652e-11
 20  40  1.000e+00  2.000e+00 -3.446e-11 -4.918e-11  6.005e-11
 20  44  1.000e+00  2.200e+00 -3.442e-11 -4.088e-11  5.344e-11
 20  48  1.000e+00  2.400e+00 -3.351e-11 -3.273e-11  4.685e-11
 20  52  1.000e+00  2.600e+00 -3.181e-11 -2.500e-11  4.046e-11
 20  56  1.000e+00  2.800e+00 -2.944e-11 -1.787e-11  3.444e-11
 20  60  1.000e+00  3.000e+00 -2.654e-11 -1.151e-11  2.893e-11
 20  64  1.000e+00  3.200e+00 -2.328e-11 -6.018e-12  2.404e-11
 20  68  1.000e+00  3.400e+00 -1.982e-11 -1.439e-12  1.988e-11
 20  72  1.000e+00  3.600e+00 -1.632e-11  2.226e-12  1.647e-11
 20  76  1.000e+00  3.800e+00 -1.289e-11  5.013e-12  1.383e-11
 20  80  1.000e+00  4.000e+00 -9.643e-12  6.986e-12  1.191e-11
 20  84  1.000e+00  4.200e+00 -6.639e-12  8.226e-12  1.057e-11
 20  88  1.000e+00  4.400e+00 -3.927e-12  8.820e-12  9.655e-12
 20  92  1.000e+00  4.600e+00 -1.536e-12  8.859e-12  8.991e-12
 20  96  1.000e+00  4.800e+00  5.232e-13  8.430e-12  8.446e-12
 20 100  1.000e+00  5.000e+00  2.250e-12  7.616e-12  7.941e-12
 20 104  1.000e+00  5.200e+00  3.649e-12  6.492e-12  7.447e-12
 20 108  1.000e+00  5.400e+00  4.731e-12  5.128e-12  6.977e-12
 20 112  1.000e+00  5.600e+00  5.506e-12  3.589e-12  6.572e-12
 20 116  1.000e+00  5.800e+00  5.981e-12  1.933e-12  6.286e-12
 20 120  1.000e+00  6.000e+00  6.163e-12  0.000e+00  6.163e-12

 24   0  1.200e+00  0.000e+00 -0.000e+00 -1.036e-10  1.036e-10
 24   4  1.200e+00  2.000e-01 -5.874e-12 -1.030e-10  1.032e-10
 24   8  1.200e+00  4.000e-01 -1.170e-11 -1.013e-10  1.020e-10
 24  12  1.200e+00  6.000e-01 -1.740e-11 -9.848e-11  1.000e-10
 24  16  1.200e+00  8.000e-01 -2.289e-11 -9.450e-11  9.723e-11
 24  20  1.200e+00  1.000e+00 -2.806e-11 -8.937e-11  9.367e-11
 24  24  1.200e+00  1.200e+00 -3.275e-11 -8.312e-11  8.934e-11
 24  28  1.200e+00  1.400e+00 -3.678e-11 -7.585e-11  8.430e-11
 24  32  1.200e+00  1.600e+00 -3.998e-11 -6.770e-11  7.862e-11
 24  36  1.200e+00  1.800e+00 -4.218e-11 -5.887e-11  7.242e-11
 24  40  1.200e+00  2.000e+00 -4.326e-11 -4.964e-11  6.584e-11
 24  44  1.200e+00  2.200e+00 -4.317e-11 -4.030e-11  5.906e-11
 24  48  1.200e+00  2.400e+00 -4.193e-11 -3.119e-11  5.226e-11
 24  52  1.200e+00  2.600e+00 -3.964e-11 -2.261e-11  4.564e-11
 24  56  1.200e+00  2.800e+00 -3.649e-11 -1.480e-11  3.937e-11
 24  60  1.200e+00  3.000e+00 -3.267e-11 -7.943e-12  3.362e-11
 24  64  1.200e+00  3.200e+00 -2.842e-11 -2.151e-12  2.850e-11
 24  68  1.200e+00  3.400e+00 -2.396e-11  2.543e-12  2.409e-11
 24  72  1.200e+00  3.600e+00 -1.949e-11  6.166e-12  2.044e-11
 24  76  1.200e+00  3.800e+00 -1.516e-11  8.786e-12  1.752e-11
 24  80  1.200e+00  4.000e+00 -1.109e-11  1.050e-11  1.528e-11
 24  84  1.200e+00  4.200e+00 -7.376e-12  1.142e-11  1.359e-11
 24  88  1.200e+00  4.400e+00 -4.052e-12  1.165e-11  1.234e-11
